Participant,Round,Strategy,MathLevel,StageNumber,#Digits,#CarriesNum,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Count,Correct #
MP6,2,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,5,5
MP6,2,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,4,4
MP6,2,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,2,1
MP6,2,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,2
MP6,2,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,0,0
MP7,1,UTH,1,1,2&1,0,0,0,2,2,0,2,2,20,20
MP7,1,UTH,2,2,2&1,1,1,1,3,4,2,6,8,10,8
MP7,1,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,6,2
MP7,1,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,7,5
MP7,1,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,5,4
MP7,1,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,7,5
MP7,1,UTH,7,3,2&2,1,1,2,3,5,6,12,18,4,3
MP7,1,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,5,5
MP7,1,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,3,3
MP7,1,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,4,4
MP7,1,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,3,2
MP7,1,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,2,1
MP7,1,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,1
MP7,1,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,0
MP8,2,UTH,1,1,2&1,0,0,0,2,2,0,2,2,17,14
MP8,2,UTH,2,2,2&1,1,1,1,3,4,2,6,8,13,13
MP8,2,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,13,10
MP8,2,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,6,4
MP8,2,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,3,3
MP8,2,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,4,3
MP8,2,UTH,7,3,2&2,1,1,2,3,5,6,12,18,6,6
MP8,2,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,4,2
MP8,2,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,4,2
MP8,2,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,3,3
MP8,2,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,3,2
MP8,2,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,2,1
MP8,2,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,1,1
MP8,2,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,0
MP9,1,UTH,1,1,2&1,0,0,0,2,2,0,2,2,13,12
MP9,1,UTH,2,2,2&1,1,1,1,3,4,2,6,8,10,10
MP9,1,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,5,4
MP9,1,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,5,4
MP9,1,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,3,2
MP9,1,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,4,4
MP9,1,UTH,7,3,2&2,1,1,2,3,5,6,12,18,3,2
MP9,1,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,4,2
MP9,1,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1,0
MP9,1,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,4,4
MP9,1,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,3,3
MP9,1,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,2,1
MP9,1,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,0
MP9,1,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,1
